100, C0//LD +(R63)
101, BF
102, C2//ST (BX)02h
103, E0
104, 02
105, C4//ADD 0006h
106, C0
107, 06
108, 00
109, 84//ROR
10A, C2//ST R2
10B, 02
10C, 87//LSL
10D, C2//ST (0008h)
10E, D0
10F, 08
110, 00
111, 00//BGRT 05h
112, 05
113, C3//LEA (r2)
114, 42
115, 02//BLSS 01
116, 01
117, CF//HALT
118, 41//JSR 011Eh
119, 1E
11A, 01
11B, 40//JMP 0115h
11C, 15
11D, 01
11E, C0//LD #2000
11F, F0
120, 00
121, 20
122, 8E//PUSHALL
123, 8F//POPALL
124, 80//RTS
0002, 69
0003, 00
0006, 00
0007, 80
0008, 0A
0009, 00
